title,date,rank,singer,lyric_rat
BLUE,2012. 02. 29.,18,BIGBANG (빅뱅),19.9152542372881
Twinkle,2012. 04. 30.,12,소녀시대-태티서 (Girls' Generation-TTS),11.4649681528662
FANTASTIC BABY,2012. 02. 29.,5,BIGBANG (빅뱅),53.6507936507937
Come Back Home,2014. 02. 27.,14,2NE1,55.7251908396947
눈 코 입,2014. 06. 03.,3,태양,0.0
CALL ME BABY,2015. 03. 30.,22,EXO,52.9017857142857
에라 모르겠다,2016. 12. 13.,21,BIGBANG (빅뱅),39.2
봄날,2017. 02. 13.,12,방탄소년단,3.59712230215827
DNA,2017. 09. 18.,16,방탄소년단,21.9827586206897
FAKE LOVE,2018. 05. 18.,18,방탄소년단,50.0
봄날,2017. 02. 13.,19,방탄소년단,3.59712230215827
작은 것들을 위한 시 (Boy With Luv),2019. 04. 12.,3,방탄소년단,55.376344086021500
ON,2020. 02. 21.,17,방탄소년단,67.1806167400881
Dynamite,2020. 08. 24.,12,방탄소년단,100.0
How You Like That,2020. 06. 26.,15,BLACKPINK,77.0700636942675
Butter,2021. 05. 21.,8,방탄소년단,100.0
Next Level,2021. 05. 17.,4,aespa,53.0864197530864
Lovesick Girls,2020. 10. 02.,14,BLACKPINK,56.7073170731707
Life Goes On,2020. 11. 20.,25,방탄소년단,28.9915966386555
Next Level,2021. 05. 17.,22,aespa,52.9411764705882
